CLAVE,CLAVE_ENT,NOM_ENT,NOM_MUN,SEXO,AÑO,POB_00_11,POB_12_29,POB_30_59,POB_60_mm,POB_TOTAL
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2033,22000,44509,86841,42491,195841
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2033,21073,43942,96962,58808,220785
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2034,21500,43242,86414,43238,194394
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2034,20595,42652,96092,59875,219214
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2035,21008,42012,86015,43930,192965
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2035,20120,41386,95198,60889,217593
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2036,20518,40806,85663,44560,191547
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2036,19639,40149,94303,61832,215923
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2037,20034,39618,85363,45123,190138
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2037,19162,38938,93414,62694,214208
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2038,19551,38438,85088,45629,188706
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2038,18688,37741,92527,63487,212443
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2039,19071,37269,84796,46102,187238
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2039,18210,36569,91622,64225,210626
9017,9,Ciudad de México,Venustiano Carranza,HOMBRES,2040,18569,36111,84430,46487,185597
9017,9,Ciudad de México,Venustiano Carranza,MUJERES,2040,17716,35417,90669,64834,208636
